Protein_Name	LFQ_C37BM	LFQ_C38BM	LFQ_C39BM	LFQ_C37PM	LFQ_C38PM	LFQ_C39PM	LFQ_C37PPM	LFQ_C38PPM	LFQ_C39PPM	LFQ_C37BN	LFQ_C39BN	LFQ_C37PN	LFQ_C39PN	LFQ_C37PPN	LFQ_C39PPN	LFQ_C37BS	LFQ_C38BS	LFQ_C39BS	LFQ_C37PS	LFQ_C38PS	LFQ_C39PS	LFQ_C37PPS	LFQ_C38PPS	LFQ_C39PPS	LFQ_C37BW3	LFQ_C38BW3	LFQ_C39BW3	LFQ_C37PW3	LFQ_C38PW3	LFQ_C39PW3	LFQ_C37PPW3	LFQ_C38PPW3	LFQ_C39PPW3
Complement C4-A;Complement C4 beta chain;Complement C4-A alpha chain;C4a anaphylatoxin;C4b-A;C4d-A;Complement C4 gamma chain	21.0816078186035	20.441822052002	20.0458030700684	21.2041301727295	21.6904678344727	21.0111351013184	20.0800476074219	20.6365299224854	20.7323131561279	20.4565353393555	19.848258972168	20.4269561767578	21.7053546905518	NA	19.9079170227051	20.3826866149902	20.7182483673096	21.2058601379395	20.4632377624512	20.7477169036865	19.1918106079102	20.3083038330078	NA	20.4373569488525	21.4623889923096	NA	21.846248626709	20.4561328887939	NA	18.7219409942627	20.4597396850586	NA	20.3842697143555
Vitamin K-dependent protein S	20.7351264953613	18.4535446166992	NA	21.3931503295898	21.1695613861084	20.7839660644531	20.03684425354	19.5735950469971	20.2166748046875	18.7321472167969	19.9835662841797	20.4424285888672	19.8840217590332	NA	18.6685810089111	19.5686130523682	20.3464622497559	20.2783260345459	21.1691932678223	19.2935161590576	19.8723735809326	20.869815826416	NA	21.9029750823975	19.0315780639648	NA	20.5003795623779	NA	NA	18.9851245880127	19.0389881134033	NA	20.956880569458
Selenoprotein P	20.7577610015869	21.0096321105957	NA	20.6744365692139	20.2359619140625	20.3390846252441	21.5820579528809	20.6248874664307	20.708345413208	21.6497001647949	NA	21.4906692504883	NA	NA	21.1986846923828	20.5058155059814	19.8477096557617	20.8897800445557	21.019100189209	20.4733810424805	22.2002429962158	20.0904216766357	22.1929187774658	19.9417762756348	20.470006942749	NA	20.553279876709	20.5577735900879	NA	21.4175624847412	20.8030967712402	NA	21.3458671569824
Ig alpha-1 chain C region	23.3554153442383	23.1109848022461	21.7881164550781	23.7005996704102	23.3800735473633	22.8403434753418	23.6439437866211	23.4176387786865	22.520565032959	23.2063369750977	22.3213272094727	23.752462387085	23.2199115753174	NA	22.6747169494629	23.4063930511475	23.2596874237061	22.7338447570801	23.4924049377441	23.0584087371826	21.1713333129883	23.4785251617432	22.2638473510742	22.62477684021	23.3132667541504	21.7401599884033	22.9399299621582	23.3352451324463	21.628942489624	21.9640579223633	24.3399410247803	20.8407649993896	22.8393440246582
Ig kappa chain V-I region AU;Ig kappa chain V-I region AG	19.6069145202637	18.9887065887451	NA	19.7688980102539	18.8832454681396	18.9592609405518	19.9813385009766	19.4010162353516	17.0118160247803	19.8116664886475	19.4168300628662	20.3910007476807	19.384838104248	NA	19.6960849761963	19.9254379272461	18.8409805297852	18.9952373504639	19.5582218170166	19.0232353210449	NA	19.1539535522461	19.3055229187012	18.7705612182617	19.7720756530762	NA	17.2263736724854	19.9127044677734	NA	19.1698417663574	19.9853744506836	NA	17.2004585266113
Alpha-enolase;Enolase	20.9166316986084	20.3215751647949	21.0671691894531	19.987735748291	19.6074199676514	19.2877578735352	20.098669052124	20.0911979675293	19.6787071228027	20.8178462982178	21.0634212493896	20.5102653503418	21.8521289825439	25.9786930084229	20.2162017822266	20.6907253265381	19.8499851226807	20.692684173584	19.9265689849854	20.3889007568359	21.5848579406738	20.3562755584717	21.5628128051758	20.29860496521	21.2086601257324	20.9909229278564	20.1155319213867	20.8746280670166	20.2215213775635	20.5401878356934	20.0496616363525	21.774787902832	19.8237972259521
Complement factor H-related protein 2	19.9126758575439	21.0567569732666	20.1954441070557	19.6295032501221	19.9633865356445	20.124267578125	20.1967658996582	21.0977058410645	19.3708190917969	20.5779151916504	20.3843746185303	20.5917663574219	20.2347946166992	NA	20.828577041626	19.8344211578369	20.7269191741943	20.1224994659424	20.5245876312256	21.0770511627197	20.1819229125977	20.058012008667	21.4958000183105	20.1872501373291	20.1570911407471	NA	19.2118129730225	20.4802017211914	NA	20.3373432159424	20.0668411254883	NA	19.5816345214844
Complement C1r subcomponent;Complement C1r subcomponent heavy chain;Complement C1r subcomponent light chain	19.9197483062744	20.1170539855957	18.7437953948975	20.034294128418	19.8178768157959	20.8743267059326	19.8896903991699	20.4869918823242	21.0661182403564	19.2243747711182	19.7784099578857	20.042064666748	20.5050392150879	NA	20.0598621368408	19.7996711730957	20.2151355743408	20.1989250183105	19.8107566833496	20.2572994232178	NA	19.7047710418701	NA	20.4068603515625	20.2786674499512	NA	20.9275226593018	19.3821392059326	NA	20.1040554046631	19.6670036315918	NA	20.7325611114502
Ig kappa chain V-II region FR;Ig kappa chain V-II region Cum	20.5796661376953	20.2272911071777	NA	20.0701217651367	20.1677856445313	20.7939205169678	20.6130619049072	20.4093494415283	19.5121765136719	20.2781009674072	NA	20.5127754211426	20.8169078826904	NA	20.6186294555664	20.4164791107178	20.240629196167	20.3724136352539	20.2077674865723	20.2319850921631	NA	19.8766059875488	NA	20.7273349761963	20.0463352203369	NA	19.4274272918701	20.3150653839111	NA	20.9883594512939	20.8012828826904	NA	19.1509075164795
Plasma protease C1 inhibitor	20.3571357727051	20.8177680969238	21.7993068695068	20.3780364990234	21.2859077453613	20.7120475769043	20.6826038360596	20.5163383483887	21.412971496582	21.009973526001	20.499698638916	20.8049087524414	20.8000183105469	NA	21.6639671325684	20.7385120391846	20.3250942230225	20.6145915985107	20.8589344024658	20.555154800415	21.9616222381592	20.1109523773193	21.4028072357178	21.1023273468018	20.0642108917236	NA	20.6800289154053	20.5734844207764	20.4990158081055	22.1187019348145	20.7417240142822	21.2155494689941	21.8552112579346
